
2024/12/24 (16:34:58) | ===> btop++ v.1.4.0
2024/12/24 (16:34:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (16:35:06) | ===> btop++ v.1.4.0
2024/12/24 (16:35:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (16:40:44) | ===> btop++ v.1.4.0
2024/12/24 (16:40:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (16:43:52) | ===> btop++ v.1.4.0
2024/12/24 (16:43:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (19:59:26) | ===> btop++ v.1.4.0
2024/12/27 (19:59:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (20:01:49) | ===> btop++ v.1.4.0
2024/12/27 (20:01:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (21:09:02) | ===> btop++ v.1.4.0
2024/12/27 (21:09:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (19:54:45) | ===> btop++ v.1.4.0
2024/12/28 (19:54:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (20:32:19) | ===> btop++ v.1.4.0
2024/12/28 (20:32:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (16:21:40) | ===> btop++ v.1.4.0
2024/12/29 (16:21:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (19:38:11) | ===> btop++ v.1.4.0
2024/12/30 (19:38:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (15:55:48) | ===> btop++ v.1.4.0
2025/01/01 (15:55:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (20:36:52) | ===> btop++ v.1.4.0
2025/01/01 (20:36:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (15:08:52) | ===> btop++ v.1.4.0
2025/01/06 (15:08:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (20:40:16) | ===> btop++ v.1.4.0
2025/01/06 (20:40:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (20:42:01) | ===> btop++ v.1.4.0
2025/01/06 (20:42:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (20:42:41) | ===> btop++ v.1.4.0
2025/01/06 (20:42:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (21:04:40) | ===> btop++ v.1.4.0
2025/01/06 (21:04:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (18:06:38) | ===> btop++ v.1.4.0
2025/01/07 (18:06:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (19:26:15) | ===> btop++ v.1.4.0
2025/01/15 (19:26:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (19:44:38) | ===> btop++ v.1.4.0
2025/01/15 (19:44:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (19:44:43) | ===> btop++ v.1.4.0
2025/01/15 (19:44:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (19:44:50) | ===> btop++ v.1.4.0
2025/01/15 (19:44:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (19:44:55) | ===> btop++ v.1.4.0
2025/01/15 (19:44:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (19:44:56) | ===> btop++ v.1.4.0
2025/01/15 (19:44:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (19:45:08) | ===> btop++ v.1.4.0
2025/01/15 (19:45:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (11:31:36) | ===> btop++ v.1.4.0
2025/01/18 (11:31:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (11:41:41) | ===> btop++ v.1.4.0
2025/01/18 (11:41:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (16:10:38) | ===> btop++ v.1.4.0
2025/01/18 (16:10:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (16:11:01) | ===> btop++ v.1.4.0
2025/01/18 (16:11:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (18:36:02) | ===> btop++ v.1.4.0
2025/01/22 (18:36:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (18:36:04) | ===> btop++ v.1.4.0
2025/01/22 (18:36:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (19:48:25) | ===> btop++ v.1.4.0
2025/01/22 (19:48:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (21:31:24) | ===> btop++ v.1.4.0
2025/01/24 (21:31:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (17:22:48) | ===> btop++ v.1.4.0
2025/01/25 (17:22:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (17:30:49) | ===> btop++ v.1.4.0
2025/01/25 (17:30:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (12:08:03) | ===> btop++ v.1.4.0
2025/02/02 (12:08:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (12:18:35) | ===> btop++ v.1.4.0
2025/02/02 (12:18:35) | WARNING: Intel GPU: Failed to initialize PMU
